company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,626.80","2,551.00","2,626.40","2,521.85",104.55,4.15
M&M,874.80,853.00,871.85,849.00,22.85,2.69
ITC,226.80,224.00,225.90,222.45,3.45,1.55
IOC,135.00,133.55,134.55,132.55,2,1.51
Bajaj Auto,"3,759.00","3,718.50","3,754.00","3,698.40",55.6,1.5
Divis Labs,"5,225.00","5,170.10","5,208.70","5,140.15",68.55,1.33
Larsen,"1,920.85","1,900.00","1,912.00","1,889.50",22.5,1.19
Hero Motocorp,"2,677.00","2,650.00","2,671.95","2,641.45",30.5,1.15
BPCL,420.25,418.10,419.50,414.90,4.6,1.11
Tata Motors,493.55,488.00,490.00,484.90,5.1,1.05
Sun Pharma,797.00,788.50,795.40,787.95,7.45,0.95
IndusInd Bank,"1,195.00","1,185.00","1,188.50","1,177.95",10.55,0.9
Nestle,"18,949.00","18,811.90","18,895.00","18,737.15",157.85,0.84
Kotak Mahindra,"2,062.00","2,039.00","2,054.45","2,037.55",16.9,0.83
HDFC Bank,"1,597.85","1,590.10","1,593.95","1,581.45",12.5,0.79
Adani Ports,716.45,713.00,714.25,709.20,5.05,0.71
SBI,535.90,531.00,531.30,527.65,3.65,0.69
HDFC Life,699.90,695.00,696.90,692.30,4.6,0.66
Titan Company,"2,444.80","2,422.00","2,433.35","2,417.95",15.4,0.64
Bajaj Finserv,"17,750.00","17,500.00","17,617.25","17,509.45",107.8,0.62
Reliance,"2,500.00","2,490.00","2,498.90","2,483.60",15.3,0.62
HCL Tech,"1,187.15","1,178.00","1,183.30","1,176.35",6.95,0.59
Britannia,"3,658.00","3,639.35","3,649.95","3,629.85",20.1,0.55
UPL,745.00,738.00,741.00,737.05,3.95,0.54
Coal India,171.40,169.75,170.65,169.75,0.9,0.53
Power Grid Corp,185.85,184.25,184.90,183.95,0.95,0.52
Wipro,657.65,655.00,655.80,652.50,3.3,0.51
Infosys,"1,717.00","1,710.00","1,710.95","1,702.50",8.45,0.5
TCS,"3,513.25","3,505.00","3,508.95","3,492.25",16.7,0.48
HUL,"2,430.00","2,420.00","2,422.00","2,411.35",10.65,0.44
Axis Bank,757.05,751.40,753.90,750.60,3.3,0.44
Tech Mahindra,"1,515.00","1,501.00","1,505.00","1,498.55",6.45,0.43
SBI Life Insura,"1,189.95","1,172.55","1,183.15","1,178.80",4.35,0.37
Shree Cements,"29,219.70","28,980.55","29,078.10","28,980.55",97.55,0.34
NTPC,138.30,137.05,137.20,136.75,0.45,0.33
Bharti Airtel,704.80,699.20,701.10,699.10,2,0.29
Bajaj Finance,"7,569.00","7,521.05","7,534.90","7,516.25",18.65,0.25
ONGC,152.85,151.70,152.30,152.00,0.3,0.2
TATA Cons. Prod,834.60,826.55,828.50,826.90,1.6,0.19
HDFC,"2,909.00","2,899.05","2,901.00","2,895.90",5.1,0.18
Maruti Suzuki,"7,819.95","7,743.05","7,746.00","7,734.25",11.75,0.15
Grasim,"1,800.00","1,785.55","1,787.70","1,785.55",2.15,0.12
Tata Steel,"1,335.00","1,326.35","1,327.60","1,326.05",1.55,0.12
Dr Reddys Labs,"4,788.65","4,771.35","4,774.25","4,771.65",2.6,0.05
